geometry,SWID,NAME,PERMITTED,TYPE,RECYCLING,TRASH,EWaste,HHW,FOOD SCRAPS,C&D,CLEAN WOOD,LEAF YARD DEBRIS,MATERIAL SPECIFICS,ADDRESS,TOWN,STATE,ZIP,COUNTY,MAILING ADDRESS,MAILING CITY,MAILING STATE,MAILING ZIP,TELEPHONE,Email,WEBSITE,LAST VISIT,Active,Latitude,Longitude,Location,ID,EABPartnerFacility
"X: -8042554.91108703, Y: 5441085.5241863, Z: NaN",OG010,Thetford Drop Off,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,4659 Vermont Route 113,Thetford,VT,5074,Orange,,,,,802-785-2922,,http://www.thetfordvermont.us/departments/recycling-center/,2023-02-28T00:00:00.0000000,1,43.84240474,-72.24754214,,106,NO
"X: -8087906.47163621, Y: 5450428.01001221, Z: NaN",OG671,Randolph Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,Landfill Road,Randolph,VT,5060,Orange,,,,,802-223-7221,,,2020-10-23T00:00:00.0000000,1,43.90286382,-72.65493895,,104,NO
"X: -8054466.09660191, Y: 5406469.73078654, Z: NaN",WS280,Hartford Community Center for Recycling & Waste Management,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,2590 North Hartland Rd,Hartford,VT,5001,Windsor,,,,,,,,2020-09-16T00:00:00.0000000,1,43.61774187,-72.35450857,,220,NO
"X: -8131666.16346704, Y: 5380504.53265494, Z: NaN",RU801,Tinmouth Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,537 Route 140,Tinmouth,VT,5773,Rutland,,,,,802-446-2498,,,2019-12-03T00:00:00.0000000,1,43.44856383,-73.04801308,,159,NO
"X: -8123250.40996307, Y: 5387698.70659283, Z: NaN",RU131,Clarendon Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Route 7B,Clarendon,VT,5759,Rutland,,,,,802-775-4274,,,2020-12-22T00:00:00.0000000,1,43.49546933,-72.97238286,,141,NO
"X: -8124363.60487101, Y: 5383863.16428766, Z: NaN",RU901,Wallingford Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,YES,,90 Waldo Ln,Wallingford,VT,5773,Rutland,,,,,802-446-2524,,https://www.wallingfordvt.com/transfer-station/,2021-05-26T00:00:00.0000000,1,43.47048717,-72.98239231,,160,NO
"X: -8125654.91096421, Y: 5367572.1247853, Z: NaN",RU501,Mount Tabor Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,NO,NO,NO,,route 7,Mount Tabor,VT,5739,Rutland,,,,,802-293-5282,,,2019-06-04T00:00:00.0000000,1,43.36419033,-72.99397406,,148,NO
"X: -8127090.93239544, Y: 5345991.82953638, Z: NaN",BN200,Northshire Transfer Station & Recycling Center,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,310 Tennis Way,East Dorset,VT,5251,Bennington,,,,,802-236-5973,,,2022-10-13T00:00:00.0000000,1,43.2230637,-73.0069044,,29,NO
"X: -8136697.8044509, Y: 5329843.1801256, Z: NaN",BN771,Manchester/Sunderland Transfer Station (Casella),Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,4561 Sunderland Hill Road,Sunderland,VT,5250,Bennington,,,,,802-223-7221,,,2023-02-16T00:00:00.0000000,1,43.117306,-73.093224,,37,NO
"X: -8117016.51847865, Y: 5336570.92857401, Z: NaN",BN961,Winhall Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,66 Old Town Rd,Winhall,VT,5340,Bennington,,,,,802-297-2122,,,2022-10-05T00:00:00.0000000,1,43.1614005,-72.91639427,,38,NO
"X: -8148442.01072959, Y: 5306646.00649389, Z: NaN",BN741,Shaftsbury Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,YES,YES,YES,,526 North Road,Shaftsbury,VT,5262,Bennington,,,,,802-442-4043,,,2022-10-05T00:00:00.0000000,1,42.96497075,-73.19871651,,34,NO
"X: -8148108.05225721, Y: 5299711.74070654, Z: NaN",BN081,Bennington Transfer Station (Op. by Casella),Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,"Also accept: Tires, Universal Waste, Used Oil, Scrap Metal.",904 Houghton Lane,Bennington,VT,5201,Bennington,"205 South Street, Box 469",Bennington,VT,5201,802-651-5454,,,2021-11-09T00:00:00.0000000,1,42.919434,-73.195656,,28,YES
"X: -8147005.98929836, Y: 5284037.326185, Z: NaN",BN581,Pownal Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,Maple Grove Road,Pownal,VT,5261,Bennington,,,,,802-823-0132,,,2022-06-10T00:00:00.0000000,1,42.81624393,-73.18582177,,30,NO
"X: -8152972.71400488, Y: 5276209.92876304, Z: NaN",BN490,TAM Materials Recovery Facility-Pownal,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,39 Church St,Pownal,VT,5261,Bennington,,,,,(802) 447-1300,,,2023-02-16T00:00:00.0000000,1,42.76463456,-73.23943377,,231,NO
"X: -8134927.82454729, Y: 5275527.61609227, Z: NaN",BN762,Stamford Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,610 Mill Road,Stamford,VT,5352,Bennington,,,,,802-694-1361,,,2020-06-16T00:00:00.0000000,1,42.76011765,-73.07730229,,36,NO
"X: -8119109.32490556, Y: 5277301.73213421, Z: NaN",BN612,Readsboro Recycling Center,Yes,Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,610 Phelps Rd,Readsboro,VT,5350,Bennington,,,,,802-423-7010,,,2020-06-16T00:00:00.0000000,1,42.77179826,-72.93522765,,31,NO
"X: -8114912.58010266, Y: 5278530.1626509, Z: NaN",WH921,Whitingham Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,NO,,NO,NO,,rt 100,Whitingham,VT,5361,Windham,,,,,802-368-7876,,,2022-09-13T00:00:00.0000000,1,42.77991976,-72.89746213,,205,NO
"X: -8123851.53521335, Y: 5296155.35990244, Z: NaN",BN421,Searsburg Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,18 Town Garage Rd,Searsburg,VT,5363,Bennington,,,,,,,,2020-06-16T00:00:00.0000000,1,42.895995,-72.977793,,230,NO
"X: -8104381.75627361, Y: 5295881.84805522, Z: NaN",WH941,Wilmington Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,YES,NO,NO,,Miller Road,Wilmington,VT,5363,Windham,,,,,802-464-8591,,,2022-10-20T00:00:00.0000000,1,42.8942,-72.8029,,206,NO
"X: -8106062.68058459, Y: 5301247.17704494, Z: NaN",WH181,Dover Drop Off,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,Landfill Road (town transfer station),Dover,VT,5341,Windham,,,,,802-464-5100,,,2019-05-01T00:00:00.0000000,1,42.92952459,-72.81800961,,190,NO
"X: -8076273.58484831, Y: 5287649.83830094, Z: NaN",WH082,Brattleboro Salvage Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,YES,NO,,437 Vernon Street,Brattleboro,VT,5301,Windham,,,,,802-254-5388,,,2020-09-16T00:00:00.0000000,1,42.83998873,-72.55042113,,187,NO
"X: -8108411.52184033, Y: 5379308.60139589, Z: NaN",RU043,Mount Holly Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,NO,NO,YES,,36 Sharon Lane,Mount Holly,VT,5758,Rutland,,,,,802-259-2391,,,2019-01-23T00:00:00.0000000,1,43.44084669,-72.83907442,,147,NO
"X: -8107721.34099741, Y: 5392303.45401423, Z: NaN",RU781,Shrewsbury Drop Off,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,scrap metal,130 Mountain School Road,Shrewsbury,VT,5738,Rutland,,,,,802-492-3511,,,2023-04-19T00:00:00.0000000,1,43.52546432,-72.83294037,,158,NO
"X: -8103524.5961945, Y: 5348864.27434774, Z: NaN",WH391,Londonderry Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,YES,YES,,7060 Route 100,Londonderry,VT,5148,Windham,,,,,802-824-3356,,,2021-04-22T00:00:00.0000000,1,43.24187336,-72.79517412,,195,YES
"X: -8101810.27603629, Y: 5327159.53681388, Z: NaN",WH301,Jamaica Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,17 Pikes Falls Rd,Jamaica,VT,5343,Windham,,,,,802-874-4274,,,2021-04-20T00:00:00.0000000,1,43.09966197,-72.77977446,,194,NO
"X: -8103001.39458777, Y: 5317574.86066327, Z: NaN",WH891,Wardsboro Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,77 Dump Road,Wardsboro,VT,5355,Windham,,,,,802-896-6055,,,2021-04-20T00:00:00.0000000,1,43.036765,-72.790474,,202,NO
"X: -8113287.31553707, Y: 5320590.91599584, Z: NaN",WH960,Stratton Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,YES,NO,,8 Town Garage Road,Stratton,VT,5155,Windham,,,,,802-896-6184,,,2021-04-20T00:00:00.0000000,1,43.05657309,-72.8828595,,199,NO
"X: -8075160.38994038, Y: 5295897.0429484, Z: NaN",WH083,Windham SWMD MRF & Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,327 Old Ferry Road,Brattleboro,VT,5301,Windham,,,,,802-257-0272,,,2019-10-08T00:00:00.0000000,1,42.89428323,-72.54036011,,188,NO
"X: -8063638.82264328, Y: 5329568.68117717, Z: NaN",WH100,Rockingham/Westminster Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,7446 Rt 5,Westminster,VT,5158,Windham,,,,,802-463-3964,,,2021-04-14T00:00:00.0000000,1,43.11552545,-72.43685261,,204,NO
"X: -8062636.94722614, Y: 5352272.63232854, Z: NaN",WS995,Alva Waste Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,YES,YES,YES,,1080 Charlestown Road,Springfield,VT,5156,,176 Poppe Road,Springfield ,Vermont,5156,802-885-2994,alvawaste@vermontel.net,http://www.alvawaste.com/,2020-09-16T00:00:00.0000000,1,43.26416272,-72.42791402,,249,NO
"X: -8071520.24259144, Y: 5360500.63026698, Z: NaN",WS090,Springfield Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,135 Fairground Rd,Springfield,VT,5156,Windsor,,,,,802-886-2208,,,2021-03-10T00:00:00.0000000,1,43.31804058,-72.50766824,,217,NO
"X: -8081683.71210086, Y: 5371171.1634454, Z: NaN",WS111,Cavendish Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,354 Route 131,Cavendish,VT,5142,Windsor,,,,,802-226-7291,,,2021-06-03T00:00:00.0000000,1,43.38774992,-72.59901541,,209,NO
"X: -8072177.02758712, Y: 5374618.35928461, Z: NaN",WS921,Weathersfield Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,5024 Route 106,Weathersfield,VT,5151,Windsor,,,,,802-674-2626,,,2021-03-10T00:00:00.0000000,1,43.41019941,-72.51361963,,218,NO
"X: -8094552.24523657, Y: 5370098.96351179, Z: NaN",WS331,Ludlow Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,336 Route 100,Ludlow,VT,5149,Windsor,,,,,802-228-2841,,,2021-02-11T00:00:00.0000000,1,43.38072155,-72.7146414,,212,NO
"X: -8088552.12468281, Y: 5321291.75511301, Z: NaN",WH421,Townshend Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,NO,,YES,NO,,1102 Grafton Road,Townshend,VT,5353,Windham,,,,,802-365-7300,,,2020-07-09T00:00:00.0000000,1,43.06123467,-72.66074486,,200,NO
"X: -8094129.23117155, Y: 5391581.89235537, Z: NaN",WS950,A.B.L.E. Waste Management Inc Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,1515 Lynds Hill Road,Plymouth,VT,,Windsor,,,,,802-672-3569,,https://www.ablewastemanagement.com/,2020-09-16T00:00:00.0000000,1,43.52081422,-72.71084715,,214,NO
"X: -8043801.68938391, Y: 5594264.38816299, Z: NaN",OL350,Mar-Jo Acres Compost Facility ,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,YES,Contact before visiting to see if willing to accept materials.,1647 Covered Bridge Rd,Irasburg,VT,,,,,,,(802) 777-3790 ,,,2021-04-20T00:00:00.0000000,1,44.8266079,-72.2586514,,253,YES
"X: -8016495.01829232, Y: 5555469.74610226, Z: NaN",CA045,Kingdom View Compost,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,2586 Pudding Hill Road,Lyndon,VT,5851,Caledonia,,,,,802-626-3265,,,,1,44.5789275,-72.01336012,,46,YES
"X: -8070329.12403995, Y: 5510663.85484353, Z: NaN",WA040,"Vermont Compost Company, Fairmont Farms",Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,NO,,1996 Main Street,East Montpelier,VT,5602,Washington,,,,,802-223-6049,,www.vermontcompost.com,2022-11-10T00:00:00.0000000,1,44.29154097,-72.49697685,,168,YES
"X: -8083765.3865787, Y: 5567793.37128272, Z: NaN",,Lamoille Soil Compost Facility,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,YES,,Wilson Rd,Johnson,VT,,,,,,,,,,,1,44.657657,-72.617745,,238,YES
"X: -8150033.87944793, Y: 5532166.25516309, Z: NaN",CH030,PurposeEnergy Digester at Magic Hat Brewery,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,NO,NO,Only accepts specific non-residential materials. Contact PurposeEnergy for details.,5 Bartlett Bay Road,South Burlington,VT,,,,,,,617-224-8747,fitch@purposeenergy.com,,2022-01-19T00:00:00.0000000,1,44.42957256,-73.21303851,,254,NO
"X: -8140527.19493419, Y: 5537467.90087336, Z: NaN",CH045,"All Cycle Waste, Inc. Depackager and Organics Transfer Station",Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,NO,NO,"Only accepts specific non-residential materials. Contact Casella for details. View ""All Cycle Transf",220 Avenue B,Williston ,VT,5495,Chittenden,,,,,802-864-3615,,,2023-03-16T00:00:00.0000000,1,44.46355955,-73.12756489,,255,NO
"X: -8135517.81784849, Y: 5539183.80019739, Z: NaN",CH940,Green Mountain Compost (CSWD Composting Facility),Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,1021 Redmond Road,Williston,VT,5495,Chittenden,,,,,802-660-4949,,,2021-04-27T00:00:00.0000000,1,44.47457183,-73.08257946,,66,YES
"X: -8146983.7254002, Y: 5466726.71729281, Z: NaN",N/A,Middlebury College  -College only compost facility,No,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,college material only,809 College Street,Middlebury,VT,5753,Addison,,,,,802-443-3087,recycling@middlebury.edu,http://www.middlebury.edu/offices/business/recycle/compost,,1,44.00825495,-73.18562815,,15,NO
"X: -8140760.96586485, Y: 5464297.0876852, Z: NaN",AD010,Vermont Natural Ag. Products,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,Residents should bring materials to ACSWMD transfer station: (802) 388-2333,297 Lower Foote Street,Middlebury,VT,5753,Addison,,,,,802-388-1137,,,2019-05-07T00:00:00.0000000,1,43.99261601,-73.12971631,,16,NO
"X: -8143610.74482916, Y: 5454909.59243924, Z: NaN",AD853,"Goodrich Farm Anaerobic Digester, Salisbury",Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,NO,NO,Only accepts specific non-residential materials. Contact Vanguard Renewables for details.,"Goodrich Farm, 592 Shard Villa Road",Salisbury,VT,,,,,,,781-232-7597,,,2021-06-25T00:00:00.0000000,1,43.93187603,-73.15533508,,250,NO
"X: -8131332.20499466, Y: 5437752.32056879, Z: NaN",RU1002,Wyman Frasier Compost of Vermont,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,NO,,160 Wyman Road,Brandon,VT ,5733,Rutland,114 Wyman Road,Brandon ,VT,5733,802-247-5748,loggerbub@yahoo.com,,2022-07-12T00:00:00.0000000,1,43.820755,-73.045006,,239,YES
"X: -8100797.26867007, Y: 5440962.05068423, Z: NaN",WS070,Vermont Black Gold Compost,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,NO,Only accept food scraps from their hauling routes. ,1837 Jerusalem Hill,Rochester,VT,5767,,,,,,802-558-3213,,,2022-07-12T00:00:00.0000000,1,43.8415962,-72.7706727,,258,YES
"X: -8045749.78047279, Y: 5467670.88697911, Z: NaN",OG170,Cookeville Compost,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,587 Abe Jacobs Road,Corinth,VT,5039,Orange,,,,,802-439-5563,,,2020-04-30T00:00:00.0000000,1,44.01441705,-72.27624621,,100,YES
"X: -8052874.22788357, Y: 5404225.03491691, Z: NaN",WS994,Greater Upper Valley Compost Facility,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,YES,,Quarry Rd,Hartland,VT,5052,Windsor,,,,,802-882-8154,,,2022-07-07T00:00:00.0000000,1,43.60314313,-72.3402071,,234,NO
"X: -8034896.13012045, Y: 5369042.20186452, Z: NaN",N/A,Always Something Farm,No,Food Scraps Management Facility,NO,NO,NO,NO,YES,,YES,YES,no meat or dairy food residuals,407 NH Route 10,Croydon,NH,3773,,122 Glidden Road,Croydon,NH,3773,603-863-6787,Gary@ASFarm.com,,,1,43.37382967,-72.17865229,,5,NO
"X: -8054121.00618045, Y: 5408222.81748232, Z: NaN",WS998,Sunrise Farms ,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,YES,Contact before visiting to see if willing to accept materials.,,,VT,,,1759 North Hartland Road,White River Junction,VT,,(802) 295-1456,chuck@sunrisefarmvt.com,,2022-04-21T00:00:00.0000000,1,43.62907,-72.3514019,,252,YES
"X: -8062636.94722614, Y: 5352272.63232854, Z: NaN",WS995,Alva Waste Organics Transfer Station,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,NO,NO,"See ""Alva Waste Transfer Station"" entry (recycling symbol on the map) for the list of other material",1080 Charlestown Road,Springfield,VT,5156,,176 Poppe Road,Springfield,Vermont,5156,802-885-2994,alvawaste@vermontel.net,http://www.alvawaste.com/,2020-09-16T00:00:00.0000000,1,43.2641539,-72.42788206,,256,NO
"X: -8074837.56341708, Y: 5296109.77404015, Z: NaN",WH083,Windham Solid Waste Management District Compost Facility,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,,WOOD CHIPS ONLY,YES,,327 Old Ferry Road,Brattleboro,VT,5301,Windham,327 Old Ferry Road,Brattleboro,VT,5301,802-257-0272,,www.windhamsolidwaste.org,2019-10-08T00:00:00.0000000,1,42.895727,-72.53746748,,222,YES
"X: -8044625.45361578, Y: 5300441.42163654, Z: NaN",N/A,City of Keene,No,Food Scraps Management Facility,NO,NO,NO,NO,NO,,YES,YES,,350 Marlboro Street,Keene,NH,3431,,,,,,"603-352-5739, ext 2",dwatson@ci.keene.nh.us,http://www.ci.keene.nh.us,,1,42.92415748,-72.26612449,,6,NO
"X: -8148197.10784984, Y: 5300335.00629346, Z: NaN",BN070,Long Trail Compost Facility,Yes,Food Scraps Management Facility,NO,NO,NO,NO,YES,NO,WOOD CHIPS ONLY,NO,,639 North Road,Shaftsbury,VT,5262,Bennington,,,,,802-447-1300,,,2022-08-29T00:00:00.0000000,1,42.92353683,-73.19648623,,33,YES
,,Hudak Farm Composting Facility,,Food Scraps Management Facility,,,,,,,,,,,,,,,,,,,,,,,,44.84963623,-73.088392,,,
